_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
218,2024,6,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,609,49,0,3,0,0,0,0,0,72,5,0,7,0,0,41,15,0,6,0,0,1,0,0,5,1,0,0,0,0,0,814
219,2024,6,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,9038,518,19,1334,5,4,0,0,0,24,0,0,194,1,0,9,0,0,4,0,0,113,0,0,442,0,106,5,0,0,41,11857
220,2024,6,A3532,GERNIKA LUMO - NABARNIZ,54,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81
221,2024,6,A3533,GERNIKA LUMO - MENDATA,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
222,2024,6,A3534,GERNIKA LUMO - ERRIGOITI,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27
223,2024,6,A3535,LEKEITIO - AMOROTO,120,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,151
224,2024,6,A3536,LEKEITIO - MENDEXA,128,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,155
225,2024,6,A3538,LEKEITIO-Barainka,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
226,2024,6,A3915,BILBAO - DURANGO - ONDARROA (Autopista),38350,1088,300,11395,35,4,0,0,0,831,110,4,726,58,5,554,37,29,196,6,0,410,6,7,2865,4,687,31,0,0,234,57972
227,2024,6,A3916,BILBAO - ERMUA - ONDARROA (Autopista),26709,815,109,4816,12,0,0,0,0,720,49,44,376,49,1,904,87,9,120,0,0,477,13,0,1735,4,414,11,0,0,104,37578
228,2024,6,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,311,0,0,117,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,460
229,2024,6,A2312,Zabalburu - UPV/EHU  (Juan de Garay),6246,334,20,40,36,0,0,0,0,284,24,1,70,6,0,311,1,16,29,0,0,26,0,0,132,0,17,1,0,0,21,7615
230,2024,6,A2314,BILBAO - Erandiogoikoa - UPV/EHU,10842,500,58,640,2,0,4,2,0,587,41,2,234,18,7,394,43,4,70,0,0,171,0,0,212,1,21,4,0,0,105,13962
231,2024,6,A2318,Termibus - UPV/EHU (Autopista),18419,1204,79,280,4,0,0,0,0,1151,81,10,568,62,10,535,51,3,218,0,1,224,0,7,534,3,37,10,0,0,125,23616
232,2024,6,A2321,Santutxu - UPV/EHU (Autopista),4723,213,20,104,1,0,0,0,0,354,31,0,170,13,0,352,7,2,125,0,0,50,0,0,76,0,10,1,0,0,43,6295
233,2024,6,A2324,BILBAO - UPV/EHU (Enekuri),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234,2024,6,A3115,BILBAO - SANTURTZI,37938,734,211,12431,54,7,0,3,0,882,62,19,1698,189,9,1323,55,2,690,29,0,2837,175,39,2606,7,2241,132,0,0,1584,65957
235,2024,6,A3122,BILBAO - SESTAO - Errepelega/Repelega,14453,349,78,4804,57,2,0,1,0,308,19,3,585,38,6,651,21,3,258,5,1,840,40,18,704,0,949,63,0,0,589,24845
236,2024,6,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,68147,1690,396,22920,60,21,0,0,0,3388,169,33,4751,383,75,3305,116,7,1411,43,2,5274,240,82,3403,4,4252,146,0,0,3395,123713
237,2024,6,A3135,SESTAO - Cabieces,31165,608,140,15524,56,6,0,0,0,939,79,11,1263,77,16,1230,41,28,471,9,0,2120,45,3,1955,5,2105,76,0,0,1677,59649
267,2024,6,A2164,Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2024,6,A3136,BILBAO - BARAKALDO - SANTURTZI,72504,1433,445,21539,76,63,0,2,0,2494,294,3,5058,440,186,2926,88,34,1580,31,14,6328,245,28,4498,24,4781,166,0,0,2842,128122
239,2024,6,A3137,BILBAO - BARAKALDO,25534,647,148,8917,80,3,0,2,6,559,87,2,967,60,4,1164,23,0,496,0,2,2037,192,13,1261,0,1650,61,0,0,1199,45114
240,2024,6,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,26249,474,34,9801,57,2,0,0,4,1192,116,5,1461,81,6,728,38,4,390,21,0,1480,109,1,1326,0,1416,35,0,0,1589,46619
241,2024,6,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),42063,1135,168,9031,51,5,0,2,2,1274,136,7,2136,202,19,1863,40,0,827,11,0,3346,133,31,2150,7,1884,71,0,0,1665,68259
242,2024,6,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),13807,419,22,1757,2,0,0,0,4,510,22,0,413,0,0,1840,3,0,232,11,0,595,1,0,283,0,188,9,0,0,637,20755
243,2024,6,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,20458,567,86,7056,10,8,0,2,2,534,16,2,621,161,5,156,2,4,190,0,0,493,10,5,1380,0,640,4,0,0,689,33101
244,2024,6,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,3455,63,2,1678,2,0,0,0,0,52,0,0,79,0,0,86,3,0,19,3,0,195,15,0,189,0,103,2,0,0,119,6065
245,2024,6,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,17256,378,30,5960,21,1,0,0,0,816,36,0,1109,29,4,737,47,0,355,57,0,1046,51,2,947,0,514,31,0,0,620,30047
246,2024,6,A3333,Gallarta - SANTURTZI,33812,1003,145,12578,15,11,0,0,0,1586,85,24,1707,138,2,775,7,2,481,31,0,1680,39,2,2408,1,1047,28,0,0,1131,58738
247,2024,6,A3335,MUSKIZ - ZIERBENA - SESTAO,14197,246,60,6381,13,4,0,0,0,319,13,3,677,38,2,206,1,1,125,2,0,473,6,2,1169,1,616,22,0,0,544,25121
248,2024,6,A3336,BILBAO - MUSKIZ,53528,1352,168,15523,79,8,0,0,2,2027,247,9,2862,280,11,1376,22,1,619,18,5,2315,70,13,3613,3,2196,137,0,0,2132,88616
