_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
202,2024,3,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,26193,706,132,4987,16,0,0,0,0,1445,95,15,2287,193,27,715,20,1,348,0,0,931,21,22,1149,1,432,2,1,0,403,40142
203,2024,3,A3923,BILBAO - DURANGO - ELORRIO (Autopista),36508,1557,519,6684,66,3,0,0,0,2867,416,6,1954,195,85,998,87,7,256,10,0,745,57,5,1788,3,417,8,2,0,109,55352
204,2024,3,A3924,ERMUA - DURANGO - UPV/EHU,5658,473,70,149,0,0,0,0,0,2987,393,36,465,24,0,69,0,0,16,2,0,35,0,0,97,0,10,0,0,0,40,10524
205,2024,3,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,15455,551,107,4065,14,0,0,0,2,780,93,10,981,82,21,492,1,4,200,1,0,415,8,10,605,0,326,3,6,0,260,24492
206,2024,3,A3926,BILBAO - ERMUA - EIBAR (Autopista),25171,501,115,2660,2,11,0,0,0,1130,91,32,461,23,44,899,14,0,74,0,0,481,45,0,1901,9,359,3,5,0,74,34105
207,2024,3,A3927,BILBAO - LEMOA - ZEANURI (Autopista),11825,427,101,1614,4,0,0,0,0,928,89,4,1325,143,11,386,15,0,219,0,0,305,1,4,456,1,216,2,0,0,123,18199
208,2024,3,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1394,27,0,738,0,0,0,0,0,1,3,0,30,0,1,8,0,0,9,0,0,26,0,0,111,0,14,0,0,0,16,2378
209,2024,3,A3930,BILBAO - GALDAKAO (Autopista),17024,404,54,3562,12,0,0,0,0,2599,182,28,1941,115,25,998,16,0,565,0,0,1106,2,0,311,0,124,14,5,0,193,29280
210,2024,3,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,63
211,2024,3,A3932,GALDAKAO - Metro Bolueta,29405,906,46,11514,62,19,0,0,0,17,1,0,21,1,0,22,2,0,7,2,0,25,9,0,354,0,797,22,4,0,409,43645
212,2024,3,A3933,BILBAO - DURANGO (Autopista),22950,865,143,3480,41,0,0,0,0,3299,460,2,2270,254,40,1505,137,11,204,17,0,713,172,17,640,2,208,14,0,0,64,37508
213,2024,3,A3512,BILBAO - LEKEITIO (Autopista),24932,890,73,4864,15,2,,2,,1437,255,2,394,5,9,672,67,12,42,4,,291,23,1,1215,0,325,8,0,0,139,35679
