_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
89,2024,7,A3524,BERMEO - BAKIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2024,7,A3527,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),51565,2011,373,8610,63,12,0,0,0,1414,132,19,2144,147,23,1960,52,9,318,0,0,1930,88,15,16,0,0,1,0,0,1887,5,660,27,0,0,0,458,73939
91,2024,7,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2024,7,A3529,MUNGIA - GAMIZ - FIKA,546,43,1,126,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,0,0,76,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,5,845
93,2024,7,A3530,MUNGIA - MEÃAKA - ARRIETA,365,10,0,71,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,34,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,5,529
94,2024,7,A3531,LEIOA-Hospital Urduliz Ospitalea - GATIKA -MUNGIA,9916,445,39,3369,17,3,0,0,0,248,40,2,989,43,0,243,1,0,76,2,0,620,22,2,3,0,0,0,0,0,659,0,416,12,0,0,0,111,17278
95,2024,7,A3537,PLENTZIA-GORLIZ-MUNGIA,10951,532,76,2227,6,25,0,0,0,135,17,2,504,19,0,109,1,8,112,0,0,353,3,3,2,2,0,0,0,0,468,1,309,32,0,0,0,128,16025
96,2024,8,A2610,GALDAKAO - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2024,8,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2024,8,A3613,BILBAO - UGAO MIRABALLES - OROZKO,15752,298,42,7271,11,1,0,0,0,244,15,0,348,11,7,230,1,0,79,4,12,1014,14,3,13,0,0,7,0,0,1296,0,743,31,0,0,0,271,27718
