_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2023,4,A2610,GALDAKAO - UPV/EHU,4801,264,20,177,0,0,0,0,0,2138,200,0,872,69,2,67,0,26,0,0,0,93,8729
2,2023,4,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,2532,131,5,160,5,0,0,0,0,996,75,0,344,6,0,51,0,33,0,0,0,55,4393
3,2023,4,A3613,BILBAO - UGAO MIRABALLES - OROZKO,15293,380,80,6732,15,0,0,0,0,459,15,1,508,79,3,1207,6,600,31,0,0,345,25754
4,2023,4,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,5123,47,33,1985,16,0,0,0,0,141,9,4,133,5,0,326,0,176,3,0,0,111,8112
5,2023,4,A3631,BILBAO - GALDAKAO - LARRABETZU,20432,470,67,5315,1,2,0,0,0,942,99,7,863,148,12,959,2,473,12,0,0,475,30279
6,2023,4,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),2796,61,20,1136,4,0,0,0,0,146,4,2,95,2,0,134,0,102,2,0,0,173,4677
7,2023,4,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,23847,470,145,10013,16,0,0,0,0,867,99,9,855,68,9,1446,4,570,13,0,0,230,38661
8,2023,4,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),9450,163,28,4278,4,0,0,0,0,457,6,5,312,0,5,335,1,282,6,0,0,119,15451
9,2023,4,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,29063,1005,249,7621,23,6,0,0,1,1769,193,27,935,126,56,1483,0,523,8,0,0,275,43363
10,2023,4,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,29776,895,214,7429,45,17,0,0,0,1346,114,20,875,81,27,1790,2,462,13,0,0,338,43444
11,2023,4,A3913,Arrazola - DURANGO,5875,226,76,2004,0,0,0,0,0,585,44,8,185,36,68,437,9,148,1,0,0,37,9739
12,2023,4,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,22160,574,143,4303,40,2,0,0,0,1037,73,21,1570,95,32,997,4,455,1,0,0,261,31768
13,2023,4,A3923,BILBAO - DURANGO - ELORRIO (Autopista),33603,1450,301,5738,44,4,0,0,1,2290,286,48,1325,186,77,1959,20,444,8,0,0,133,47917
14,2023,4,A3924,ERMUA - DURANGO - UPV/EHU,4241,317,49,108,0,0,0,0,0,2167,191,46,243,27,0,78,0,6,0,0,0,18,7491
15,2023,4,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,13642,346,61,3605,14,1,0,0,0,554,33,6,744,24,12,631,5,284,0,0,0,207,20169
16,2023,4,A3926,BILBAO - ERMUA - EIBAR (Autopista),23013,527,87,2572,4,17,0,2,0,911,88,13,331,33,1,2013,24,335,10,0,0,52,30033
126,2023,5,A3533,GERNIKA LUMO - MENDATA,26,,,2,,,,,,,,,,,,2,0,0,0,0,0,0,30
17,2023,4,A3927,BILBAO - LEMOA - ZEANURI (Autopista),9260,388,82,1277,11,0,0,0,1,525,44,9,1077,60,33,418,0,224,0,0,0,86,13495
18,2023,4,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1175,11,0,648,0,0,0,0,0,1,0,0,24,1,0,85,0,15,0,0,0,16,1976
19,2023,4,A3930,BILBAO - GALDAKAO (Autopista),16001,329,17,2653,27,1,0,0,0,2018,156,7,1322,70,16,319,0,172,16,0,0,184,23308
20,2023,4,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,32
21,2023,4,A3932,GALDAKAO - Metro Bolueta,28289,555,107,9678,44,7,0,0,0,16,0,0,12,0,0,428,0,814,30,10317,0,273,50570
22,2023,4,A3933,BILBAO - DURANGO (Autopista),20365,929,126,2720,23,1,0,0,0,2477,234,6,1284,214,45,530,6,227,12,0,0,52,29251
23,2023,4,A3512,BILBAO - LEKEITIO (Autopista),22124,707,171,4355,31,,,5,4,1168,164,9,304,5,22,1439,0,270,10,0,0,131,30919
24,2023,4,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,9964,355,26,3272,2,11,,,,274,42,1,319,10,,899,3,90,6,0,0,66,15340
25,2023,4,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,28478,904,67,4864,18,3,,,,1244,104,,1997,208,,1077,1,202,6,0,0,201,39374
26,2023,4,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,48398,1403,159,10888,53,2,1,,2,2465,286,10,2529,313,17,2312,0,543,21,0,0,224,69626
27,2023,4,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,7350,209,13,2310,2,,,,,308,9,0,285,2,,835,3,124,2,0,0,38,11490
28,2023,4,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,2495,198,10,75,13,8,,,,840,134,,202,25,,56,0,5,0,0,0,5,4066
29,2023,4,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,2993,72,19,529,,2,,,,29,33,1,99,,,244,0,10,0,0,0,62,4093
30,2023,4,A3532,GERNIKA LUMO - NABARNIZ,85,,,11,,,,,,,,,,,,11,0,0,0,0,0,0,107
31,2023,4,A3533,GERNIKA LUMO - MENDATA,24,,,3,,,,,,,,,,,,0,0,0,0,0,0,0,27
32,2023,4,A3534,GERNIKA LUMO - ERRIGOITI,40,,,4,,,,,,,,,,,,0,0,0,0,0,0,0,44
33,2023,4,A3535,LEKEITIO - AMOROTO,102,,,10,,,,,,,,,,,,8,0,0,0,0,0,0,120
34,2023,4,A3536,LEKEITIO - MENDEXA,60,1,,18,,,,,,,,,,,,3,0,0,0,0,0,0,82
35,2023,4,A3538,LEKEITIO-Barainka,30,,,3,,,,,,,,,,,,1,0,0,0,0,0,0,34
36,2023,4,A3915,BILBAO - DURANGO - ONDARROA (Autopista),30203,911,162,8623,28,4,,,,1094,121,19,695,55,44,2660,5,607,25,0,0,160,45416
127,2023,5,A3534,GERNIKA LUMO - ERRIGOITI,39,,,8,,,,,,,,,,,,1,0,0,0,0,0,0,48
